,Attributes,Description,age
0,Latin Name,Layia platyglossa,
1,Common Name,Coastal Tidytips,
2,Family,Asteraceae or Compositae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,"Grassy flats by the coast, below 100 metres[71].",
6,Range,South-western N. America - California.,
7,Edibility Rating,(1 of 5),
8,Other Uses,(0 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/LayiaPlatyglossa.jpg, https://pfaf.org/../Admin/PlantImages/LayiaPlatyglossa2.jpg",
13,Summary,,
14,Physical Characteristics,"Layia platyglossa is a ANNUAL growing to 0.3 m (1ft) at a fast rate. It is frost tender.  It is in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil.",
15,Synonyms,Blepharipappus platyglossus.,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,,
19,Edible Uses Description,"Seed - cooked. It can be used as a piñole[105, 161], or can be ground into a powder and used with other ground seeds in a mush or porridge[257]..",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,None known,
24,Cultivation Details,,
25,Cultivation Details Description,"A fast-growing plant[188], it succeeds in ordinary garden soils[1] and also in poor soils[188]. It requires a very well-drained soil[188], preferring to grow on a dry sunny bank[200]. A frost tender annual, it does not thrive in areas with hot humid summers[200].",
26,Plant Propagation,"Seed - sow March/April in a greenhouse. Prick out the seedlings into individual pots as soon as they are large enough to handle and plant them out in early summer. Alternatively, if you have sufficient seed it is possible to sow in situ during April/May.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
