,Attributes,Description,age
0,Latin Name,Robinia pseudoacacia,
1,Common Name,"Black Locust, Yellow Locust",
2,Family,Fabaceae or Leguminosae,
3,USDA hardiness,4-9,
4,Known Hazards,"All parts of the plant (except the flowers) and especially the bark, should be considered to be toxic[4, 65, 76]. The toxins are destroyed by heat[65].",
5,Habitats,"Woods and thickets[43], especially in deep well-drained calcareous soils[149].",
6,Range,Eastern N. America - Appalachian and Ozark mountain ranges. Naturalized in Britain[17].,
7,Edibility Rating,(3 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Robinia_pseudoacacia1.JPEG, https://pfaf.org/../Admin/PlantImages/Robinia_pseudoacacia2.JPEG",
13,Summary,"Bloom Color: White. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Upright or erect.",
14,Physical Characteristics,"Robinia pseudoacacia is a deciduous Tree growing to 25 m (82ft) by 15 m (49ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower in June, and the seeds ripen from November to March. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. It can fix Nitrogen. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought. It can tolerate atmospheric pollution.",
15,Synonyms,,
16,Plant Habitats,Woodland Garden Canopy;,
17,Edible Parts,"Flowers: ,Seed: includes nuts, cereals, peas and beans.,Seedpod: things such as Okra, French and Runner beans.",
18,Edible Uses,"Oil: Oil,Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.,Drink: not including plant saps, tea or coffee substitutes.,Oil: ",
19,Edible Uses Description,"lSeed - cooked[2, 55, 61]. Oily[161]. They are boiled and used like peas[183]. After boiling the seeds lose their acid taste[213]. The seed is about 4mm long and is produced in pods up to 10cm long that contain 4 - 8 seeds[82]. A nutritional analysis is available[218]. Young seedpods - cooked[105]. The pods contain a sweetish pulp that is safe to eat and is relished by small children[201]. (This report is quite probably mistaken, having been confused with the honey locust, Gleditsia spp[K].) A strong, narcotic and intoxicating drink is made from the skin of the fruit[13]. Piperonal is extracted from the plant, it is used as a vanilla substitute[105]. No further details. All the above entries should be treated with some caution, see the notes at the top of the page regarding toxicity. Flowers - cooked. A fragrant aroma, they are used in making jams and pancakes[7, 183]. They can also be made into a pleasant drink[183].",
20,Medicinal Uses,"Antispasmodic: Relaxes muscular spasms and cramps, calming nervous irritation.,Antiviral: Treats virus diseases,Aromatic: Having an agreeable odour and stimulant qualities.,Cancer: Used in the treatment of cancer.,Cholagogue: Increases the flow of bile and its discharge from the body.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Emetic: Induces vomiting.,Emollient: Softens the skin, causing warmth and moisture.,Febrifuge: Reduces fevers.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Narcotic: Relieves pain, induces drowsiness and gives a sense of well-being.,Purgative: A drastic laxative causing a cleansing or watery evacuation of the bowels, usually with a griping pain.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antispasmodic  Antiviral  Aromatic  Cancer  Cholagogue  Diuretic  Emetic  Emollient  Febrifuge  Laxative  Narcotic  Purgative  TonicFebrifuge[13, 46]. The flowers are antispasmodic, aromatic, diuretic, emollient and laxative[218]. They are cooked and eaten for the treatment of eye ailments[218]. The flower is said to contain the antitumor compound benzoaldehyde[269]. The inner bark and the root bark are emetic, purgative and tonic[4, 7, 218, 257]. The root bark has been chewed to induce vomiting, or held in the mouth to allay toothache[222, 257], though it is rarely if ever prescribed as a therapeutic agent in Britain[4]. The fruit is narcotic[13]. This probably refers to the seedpod. The leaves are cholagogue and emetic[7]. The leaf juice inhibits viruses[218].",
22,Other Uses,"Dye: Plants that provide dyes.,Essential: Essential oils that are used in perfumery, medicines, paint solvents, insect repellents etc.,Fibre: Used for making cloth, rope, paper etc.,Fodder: Food given to the animals (including plants cut and carried to them) rather than forage for themselves.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.,Soil stabilization: Plants that can be grown in places such as sand dunes in order to prevent erosion by wind, water or other agents.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
23,Other Uses Description,"Agroforestry Uses:This species has been widely planted for shelterbelts and windbreaks, and is also used to produce woody biomass for energy production[1050]. It suckers freely, especially if coppiced, and can be used for stabilizing banks etc[200, 226].It is used in restoration and rehabilitation projects because its extensive root system holds and stabilizes the soil surface, it sprouts vigorously and prolifically, it increases soil fertility through nitrogen fixation, and it forms a leaf litter that protects the soil. Its main use has been in the rehabilitation of former surface mine sites and for erosion control, but it is also used to rehabilitate contaminated soils, depleted soils, gravel pits, and logged areas, and to stabilize railroad embankments and highway edges[1050].The plant is often found as a pioneer on old fields, burned areas, and lands strip-mined for coal[418].The leaves are rich in tannin and other substances which inhibit the growth of other plants[13].The flowers are a rich source of nectar. Honey produced from this nectar is considered to be of high quality and fetches a price premium.Other Uses: A drying oil is obtained from the seed[2, 7].An essential oil is obtained from the flowers. Highly valued, it is used in perfumery[7, 57, 100].A yellow dye is obtained from the bark[223]. Robinetin is a strong dyestuff yielding with different mordants different shades similar to those obtained with fisetin, quercetin, and myricetin; with aluminum mordant, it dyes cotton to a brown-orange shade[269].The bark contains tannin, but not in sufficient quantity for utilization[223]. On a 10% moisture basis, the bark contains 7.2% tannin and the heartwood of young trees 5.7%[223].The bark is used to make paper and is a substitute for silk and wool[13].The wood is close-grained, exceedingly hard, heavy, very strong (due to a high lignin content), resists shock and is very durable in contact with the soil. It weighs 45lb per cubic foot. It does not shrink much when drying. The wood is used in shipbuilding and for making fence posts, tree nails, flooring, furniture, woodenware etc[4, 7, 11, 13, 46, 61, 82, 149, 171, 227, 418, 1050]. The wood of Robinia pseudoacacia var. rectissima, the so called 'Long Island' or 'Shipmast' locust, has a greater resistance to decay and wood borers, outlasting other locust posts and stakes by 50 - 100%[269].A very good fuel[82, 418], but it should be used with caution because it flares up and projects sparks[226]. The wood is also used for making charcoal[418]. A dynamic accumulator gathering minerals or nutrients from the soil and storing them in a more bioavailable form - used as fertilizer or to improve mulch.",
24,Cultivation Details,"Agroforestry Services: Nitrogen: Plants that contribute to nitrogen fixation include the legume family – Fabaceae.,Agroforestry Services: Windbreak: Linear plantings of trees and shrubs designed to enhance crop production, protect people and livestock and benefit soil and water conservation.,Fodder: Bank: Fodder banks are plantings of high-quality fodder species. Their goal is to maintain healthy productive animals. They can be utilized all year, but are designed to bridge the forage scarcity of annual dry seasons. Fodder bank plants are usually trees or shrubs, and often legumes. The relatively deep roots of these woody perennials allow them to reach soil nutrients and moisture not available to grasses and herbaceous plants.,Industrial Crop: Biomass: Three broad categories: bamboos, resprouting woody plants, and giant grasses. uses include: protein, materials (paper, building materials, fibers, biochar etc.), chemicals (biobased chemicals), energy - biofuels,Management: Coppice: Cut to the ground repeatedly - resprouting vigorously. Non-destructive management systems maintaining the soil organic carbon.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Minor Global Crop: These crops are already grown or traded around the world, but on a smaller scale than the global perennial staple and industrial crops, The annual value of a minor global crop is under $1 billion US. Examples include shea, carob, Brazil nuts and fibers such as ramie and sisal.,Other Systems: SRC: Short-rotation coppice.",
25,Cultivation Details Description,"Agroforestry Services: Nitrogen  Agroforestry Services: Windbreak  Fodder: Bank  Industrial Crop: Biomass  Management: Coppice  Management: Standard  Minor Global Crop  Other Systems: SRCLandscape Uses:Erosion control, Firewood, Aggressive surface roots possible. Succeeds in any well-drained soil, preferring one that is not too rich[1, 200]. Succeeds in dry barren sites, tolerating drought and atmospheric pollution[60, 200]. Succeeds in a hot dry position. The plant is reported to tolerate an annual precipitation in the range of 61 to 191cm, an annual temperature in the range of 7.6 to 20.3°C and a pH of 6.0 to 7.0[269]. A fast-growing tree for the first 30 years of its life[188, 269], it can begin to flower when only 6 years old, though 10 - 12 years is more normal[229]. The flowers are a rich source of nectar and are very fragrant[82] with a vanilla-like scent[245]. The branches are brittle and very liable to wind damage[200]. When plants are grown in rich soils they produce coarse and rank growth which is even more liable to wind damage[11, 200]. The plants sucker freely and often form dense thickets, the suckers have vicious thorns[226]. There are some named varieties selected for their ornamental value[188], some of these are thornless[226]. Any pruning should be done in late summer in order to reduce the risk of bleeding[200]. The leaves are rich in tannin and other substances which inhibit the growth of other plants[13]. A very greedy tree, tending to impoverish the soil[13]. (Although a legume, I believe it does not fix atmospheric nitrogen[K]) A very good bee plant[7, 13, 20, 201]. This species is notably resistant to honey fungus[88, 200].  Special Features:North American native, Invasive, Naturalizing, All or parts of this plant are poisonous, Attracts butterflies, Fragrant flowers, Blooms are very showy. The plant is heat tolerant in zones 9 through 3. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. Plant Heat Zones show when plants would start suffering from the heat.  The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. A sprouting standard sending up shoots from the base [1-2]. The root pattern is flat with shallow roots forming a plate near the soil surface [1-2]. The root pattern is suckering with new plants from underground runners away from the plant [1-2].",
