,Attributes,Description,age
0,Latin Name,Samanea saman,
1,Common Name,"Rain Tree, False Powder Puff, Monkey Pod",
2,Family,Fabaceae,
3,USDA hardiness,10-12,
4,Known Hazards,Parts of plant are poisonous if ingested Handling plant may cause skin irritation or allergic reaction,
5,Habitats,"Dry lowland grassland, coastal bushland and forest[307 ].",
6,Range,"Northern S. America - Colombia, Venezuela; north through Central America to Nicaragua and El Salvador.",
7,Edibility Rating,(3 of 5),
8,Other Uses,(4 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Tender,Well drained soil,Moist Soil,Wet Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Samanea saman 1.JPEG, https://pfaf.org/../Admin/PlantImages/Samanea saman 2.JPEG",
13,Summary,"Commonly found in Northern South America, Samanea saman or Rain Tree is a multi-purpose tree often cultivated for its timber and as food, medicine, and gums among others. It has a spreading and low type of dense and dome-shaped crown, and a short and usually crooked bole that can be up to 200cm in diameter. It grows up to 30-60m tall. Due to its dense canopy, rain tree is planted in plantations as shade tree for coffee, cacao, and other crops. Medicinally, the plant is used in the treatment of diarrhea, stomach pain, and sore throat. It is also used as a laxative. The pods can be eaten and the pulp can be made into drink.The bark is a source of gums and resins. Pods can be ground up and converted to alcohol as an energy source. The wood is light in weight but highly durable. It is used for carvings, furniture, panelling, boat building, interior trim, crafts, boxes, veneers, and general construction. Also kniwn as Albizia saman.",
14,Physical Characteristics,"Samanea saman is a deciduous Tree growing to 20 m (65ft) by 30 m (98ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10 and is frost tender. The flowers are pollinated by Bees. It can fix Nitrogen. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay and nutritionally poor soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and  can grow in very acid, very alkaline and saline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry moist or  wet soil and can tolerate drought. The plant can tolerates strong winds but not maritime exposure.",
15,Synonyms,Acacia propinqua A. Rich. Albizia saman (Jacq.) F. Muell. Calliandra saman (Jacq.) Griseb. Enterolob,
16,Plant Habitats,,
17,Edible Parts,"Seedpod: things such as Okra, French and Runner beans.",
18,Edible Uses,"Drink: not including plant saps, tea or coffee substitutes.,Gum: can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods.",
19,Edible Uses Description,"umChildren eat the pods, which contain a brownish, sticky, liquorice-like, sweet-flavoured pulp[303 , 307 ]. A lemon-like fruit drink is also made from the pulp[269 , 303 ]. The pods are more or less straight with conspicuously thickened edges, 12 - 20cm long, 1 - 2cm wide and 1.2cm thick[303 ]. The tree yields a gum of inferior quality which could be used as a poor man's substitute for gum arabic[269 ]. Carbon farming - Staple Crop: balanced carb.",
20,Medicinal Uses,"Antidiarrhoeal: Provides symptomatic relief for diarrhoea. Also see Astringent.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Stomachic: Aids and improves the action of the stomach.",
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antidiarrhoeal  Laxative  StomachicA decoction of the inner bark and fresh leaves is used as a treatment for diarrhoea[303 ]. A brew of small sections of the bark is taken to treat stomach-ache[303 ]. A crude aqueous or alcoholic extract of the leaves is observed to have an inhibiting effect on Mycobacterium tuberculosis[303 ]. The alkaloid fraction of the leaves is effective on the CNS and PNS[269 ]. An infusion of the leaves is used as a laxative[269 ]. The fruit decoction is used as a CNS-sedative[269 ]. The seeds are chewed for treating a sore throat[269 ].,
22,Other Uses,"Alcohol: Used for fuel etc. (this is wood alcohol, it is not the sort that can be drunk.,Charcoal: Used for fuel, drawing, deodorant, filter, fertilizer etc.,Containers: Plants, such as gourds, that can be used as containers. Does not include baskets or containers made from wood.,Fencing: Plants that can be used for fencing.,Fodder: Food given to the animals (including plants cut and carried to them) rather than forage for themselves.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Gum: Gums have a wide range of uses, especially as stabilizers, emulsifiers, thickening agents, adhesives etc.,Resin: Used in perfumery, medicines, paints, soap making etc. This also includes turpentine, which is extracted from many resins and used as a preservative, water proofer etc,,Wood: A list of the trees and shrubs that are noted for having useful wood.",
