,Attributes,Description,age
0,Latin Name,Diplazium esculentum,
1,Common Name,Vegetable Fern,
2,Family,Athyriaceae,
3,USDA hardiness,8-11,
4,Known Hazards,"Although we have found no reports of toxicity for this species, a number of ferns contain carcinogens, so some caution is advisable [200 ]. Many ferns also contain thiaminase, an enzyme that robs the body of its vitamin B complex. In small quantities, this enzyme will not harm people eating an adequate diet rich in vitamin B, though large amounts can cause severe health problems. The enzyme is destroyed by heat or thorough drying, so cooking the plant will remove the thiaminase [172 ].",
5,Habitats,"River banks, open places in wet ground, at elevations below 900 metres in Sri Lanka[667 ].",
6,Range,"E. Asia - southern China, Indian subcontinent, through southeast Asia to Indonesia and Philippines.",
7,Edibility Rating,(4 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(3 of 5),
11,Care (info),"Half Hardy,Moist Soil,Full shade,Semi-shade",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Diplazium_esculentum1.JPEG, https://pfaf.org/../Admin/PlantImages/Diplazium_esculentum2.JPEG",
13,Summary,,
14,Physical Characteristics,"Diplazium esculentum is an evergreen Fern growing to 1 m (3ft 3in) by 1 m (3ft 3in) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 9. The flowers are pollinated by Wind.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in full shade (deep woodland) or  semi-shade (light woodland). It prefers  moist soil.",
15,Synonyms,Anisogonium esculentum (Retz.) C.Presl. Anisogonium serampurens C. Presl. Asplenium ambiguum Sw. Asplenium esculentum (Retz.) C.Presl. Athyrium esculentum (Retz.) Copel. Asplenium malabaricum Mett. Asplenium moritzii Mett. Asplenium pubescens Mett. Asplenium vitiense Baker. Athyrium ambigua (Sw.) Milde. Callipteris ambigua (Sw.)T.Moore. Callipteris esculenta (Retz.) J.Sm. Callipteris serampurens Fée. Callipteris malabarica J. Sm. Digrammaria ambigua (Sw.) C. Presl. Digrammaria esculenta (Retz.) F?e. D. malabaricum Spreng. D. pubescens Link. D. serampurens Spreng. D. vitiense Carruth. Gymnogramma edulis Ces. Hemionitis esculenta Retz. Microstegia ambigua (Sw.) C. Presl. Microstegia esculenta (Retz.) C.Presl.,
16,Plant Habitats,,
17,Edible Parts,"Leaves: ,Shoots: ",
18,Edible Uses,,
