,Attributes,Description,age
0,Latin Name,Hevea brasiliensis,
1,Common Name,"Para Rubber Tree, Brazilian Rubber Tree",
2,Family,Euphorbiaceae,
3,USDA hardiness,11-12,
4,Known Hazards,The seeds contain cyanic compounds are poisonous to humans unless treated[587 ]. See notes on edible uses below[K ]. (Seed is poisonous if ingested Handling plant may cause skin irritation or allergic reaction ),
5,Habitats,"Along river banks in rainforests[307 ]. Rainforest, often in periodically flooded areas, but larger trees are found on the well-drained plateaux. In its natural habitat, it forms part of the middle storey of the tropical forest[303 ].",
6,Range,S. America - Brazil around the Amazon and Orinoco rivers.,
7,Edibility Rating,(2 of 5),
8,Other Uses,(5 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Tender,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Hevea brasiliensis_Kohler.JPEG, https://pfaf.org/../Admin/PlantImages/Hevea brasiliensis_2.JPEG",
13,Summary,"Known as the most important rubber-producing tree worldwide, Hevea brasiliensis or commonly known as para rubber tree, is a deciduous tree growing up to 20 m in height with smooth and gray bark, dark green leaves, pale yellow flowers, and large capsule fruits. It is a tropical plant native to the Amazon in Brazil but can be found in other locations across South America, Africa, and Asia. Seeds are poisonous thus it requires treatment by soaking for a prolonged period or boiling prior to consumption. The seeds contain Para rubber seed oil, a semi-drying pale yellow oil used for illumination, soap making, paint, varnish, and as a treatment against house flies and lice. The plant is often intercropped with coffee or cocoa. Tapping the trunk yields latex used in wide range of applications. The wood is used for furniture, interior finish, moulding, etc.",
14,Physical Characteristics,"Hevea brasiliensis is a deciduous Tree growing to 20 m (65ft) by 16 m (52ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10 and is frost tender. The flowers are pollinated by Wind, Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: mildly acid and neutral soils and  can grow in very acid soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil and can tolerate drought.",
15,Synonyms,,
16,Plant Habitats,,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,,
19,Edible Uses Description,"Seed - cooked[307 ]. Although poisonous, the seeds are a staple food of local peoples in the jungle[307 ]. The seed needs to be treated by soaking for a prolonged period or boiling them to destroy the cyanic poisons[303 , 307 ]. The seeds contain 40 - 50% oil. This is suitable for use as food[303 ]. A famine food.",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,"Charcoal: Used for fuel, drawing, deodorant, filter, fertilizer etc.,Fertilizer: Provides a concentrated solid plant food.,Fuel: Usually wood, plant materials that have been mentioned as being a good fuel.,Insecticide: Kills insects.,Latex: A source of rubber.,Lighting: Plants that can be used as torches etc. See also Oil and Wax.,Paint: Plants used directly as a paint. Does not include oil plants and dyes that can be used as ingredients in paints.,Repellent: Plants that are said to deter but not necessarily kill various mammals, birds, insects etc.,Soap: Plants used directly as a soap substitute.,Varnish: Plants that can be used as a varnish without any special treatment. Does not include varnishes made from oils etc.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
