,Attributes,Description,age
0,Latin Name,Atriplex hastata,
1,Common Name,Hastate Orach,
2,Family,Chenopodiaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",
5,Habitats,"Waste or disturbed ground, often near the sea, on sand, shingle and mud above the high-tide mark[17].",
6,Range,"Most of Europe, including Britain, south from Scandanavia to N. Africa, east to Asia.",
7,Edibility Rating,(3 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/AtriplexHastata.jpg, https://pfaf.org/../Admin/PlantImages/AtriplexHastata2.jpg",
13,Summary,,
14,Physical Characteristics,"Atriplex hastata is a ANNUAL growing to 0.8 m (2ft 7in).  It is not frost tender.  It is in flower from July to September. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Wind.  Suitable for: light (sandy) and medium (loamy) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline soils. It cannot grow in the shade. It prefers dry or  moist soil. The plant can tolerate maritime exposure.",
15,Synonyms,A. deltoidea.,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,"Leaves: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,,
19,Edible Uses Description,"Leaves - cooked[5, 74, 177]. Used as a spinach substitute, they have a fairly bland flavour and are often mixed with stronger tasting leaves[9, 183]. Seed - cooked[9, 177]. Ground into a powder and used to thicken soups etc or added to wheat flour and used in making bread. Very fiddly to harvest because the seed is quite small.",
20,Medicinal Uses,,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
22,Other Uses,,
23,Other Uses Description,Dynamic accumulator.,
24,Cultivation Details,,
25,Cultivation Details Description,"Requires a position in full sun in any well-drained but not too fertile soil.[200] Tolerates saline and very alkaline soils[200]. A polymorphic species[17]. This species is a poor companion for potatoes, inhibiting their growth when growing close to them[18].",
26,Plant Propagation,Seed - sow April/May in situ[134]. Germination is usually rapid.,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
